,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
5857,Glenn Strange,1937-1973,Strange,Glenn,M,1899,1973,R:cowboy,\Am,,
5858,Lee Strasberg,1974-1979,Strasberg,Lee,F,1901,1982,R:drama teacher,\Am,,
5859,Susan Strasberg,1955-1983,Strasberg,Susan,F,1938,199x,R:lead,\Am,,Ch(Lee Strasberg)
5860,Marcia Strassman,,,,F,[1],199x,RU:,\Un,,|
5861,Dorothy Stratten,1990-1982,Stratten,Dorothy,F,1960,1980,R:playmate,,,
5862,Peter Strauss,1971-1983,Strauss,Peter,M,1942,199x,R:lead,\Am,,
5863,Robert Strauss,1952-1965,Strauss,Robert,M,1913,1975,R:comedy,\Am,,
5864,Meryl Streep,1977-1983,Streep,Mary Louise,F,1951,199x,R:lead,\Am,\Un,[4.167]
5865,Russel Streiner,,,,M,[1],199x,RU:,\Un,[4.196],
5866,Barbra Streisand,1968-1983,Streisand,Barbara Joan,F,1942,199x,R:odd looks,\Am,,
5867,Ray Stricklyn,1956-1965,Stricklyn,Ray,M,1930,199x,R:second lead,\Am,,
5868,John Stride,1963-1975,Stride,John,M,1936,199x,R:supporting,\Br,,
5869,Elaine Stritch,1955-1978,Stritch,Elaine,F,1926,199x,R:comedienne,\Am,,
5870,Woody Strode,1951-1983,Strode,Woodrow,M,1914,199x,R:tall black,\Am,,
5871,Don Stroud,1968-1979,Stroud,Don,M,1937,199x,R:lead,\Am,,
5872,Annette Stroyberg,1959,Stroyberg,Annette,F,,199x,R:sr,\Ct,,Mt(Roger Vadim)
5873,Sally Ann Struthers,1970-1976,Struthers,Sally,F,1947,199x,R:character,\Am,[4.30],
5874,Barbara Stuart,,,,F,[1],199x,RU:,\Un,,|
5875,Binkie Stuart,1937-1939,Stuart,Binkie,F,1932,199x,R:child,\Br,,
5876,Gloria Stuart,1932-1946,Finch,Gloria Stuart,F,1909,1995+,R:lead,\Am,,
5877,John Stuart,1920-1978,Croall,John,M,1898,1979,"R:lead, character",\Br,,Ww(Hitchcock)
5878,Richard Styles,,,,M,[1],199x,RU:,\Un,,|
5879,Margaret Sullavan,1933-1950,Brooke,Margaret,F,1911,1960,R:whimsical,\Am,"Mt(Henry Fonda,)",|
5880,Barry Sullivan,1943-1977,Barry,Patrick,M,1912,1994,R:rugged lead,\Am,[34.141],Ww(Hitchcock)
5881,Ed Sullivan,,,,M,[1],199x,RU:,\Un,,|
5882,Francis L. Sullivan,1933-1955,Sullivan,Francis L.\,M,1903,1956,R:heavywieight advocate,\Br,[4.862],
5883,Michael Sullivan,,,,M,[1],199x,RU:,\Un,,|
5884,Tom Sullivan,,,,M,[1],199x,RU:,\Un,,|
5885,Frank Sully,1935-1956,Sully,Frank,M,1910,1975,"R:farmer, dumb crook",\Am,,
5886,Madame SulTeWan,1937,Sul-Te-Wan,*,F,,199x,R:black slave,\Am,,Pt(Pt(Doroyhty Dandridge)) Ww(D.W. Griffith)
5887,Donna Summer,,,,F,[1],199x,RU:,\Un,,|
5888,Eleanor Summerfield,1947-1970,Summerfield,Eleanor,F,1921,199x,R:comedienne,\Br,,
5889,Slim Summerville,1927-1946,Summerville,George J.\,M,1892,1946,"R:lanky, mournful",\Am,,
5890,Geoffrey Sumner,1949-1955,Sumner,Geoffrey,M,1908,199x,R:silly ass type,\Br,,
5891,Clinton Sundberg,1946-1967,Sundberg,Clinton,M,1919,199x,"R:flustered clerk, head waiter",\Am,,
5892,Todd Susman,,,,M,[1],199x,RU:,\Un,,|
5893,Donald Sutherland,1963-1983,Sutherland,Donald,M,1935,199x,R:gaunt,\Ca,\Un,"[4.82,194]"
5894,Kiefer Sutherland,1990,Sutherland,Kiefer,M,1968,199x,RU:,\Am,,Lw(Julia Roberts)
5895,Dudley Sutton,1963-1971,Sutton,Dudley,M,1933,199x,R:character,\Br,,
5896,Frank Sutton,,,,M,[1],199x,RU:,\Un,,|
5897,Grady Sutton,1932-1966,Sutton,Grady,M,1908,199x,R:vacuous country cousin,\Am,,
5898,John Sutton,1937-1959,Sutton,John,M,1908,1963,R:swashbuckling villain,\Br,[4.521],
5899,Janet Suzman,1970-1981,Suzman,Janet,F,1939,199x,RU:,\SA(frican),[9.11],
5900,Bo Svenson,1975-1981,Svenson,Bo,M,1941,199x,R:action lead,\Am,,
5901,Dominique Swain,1998,Swain,Dominique,F,,1982,R:sexy teen,\Un,,|
5902,Mack Swain,1914-1932,Swain,Mack,M,1876,1935,R:silent,\Am,,
5903,Robert Swann,,,,M,[1],199x,RU:,\Un,,|
5904,Forrest Swanson,,,,M,[1],199x,RU:,\Un,,|
5905,Gary Swanson,,,,M,[1],199x,RU:,\Un,,|
5906,Gloria Swanson,1915-1974,Swenson,Josephine,F,1897,1983,R:silent lead,\Am,[34.],
5907,Maureen Swanson,1953-1963,Swanson,Maureen,F,1932,199x,R:lead,\Br,,
5908,Gladys Swarthout,1935-1939,Swarthout,Gladys,F,1904,1969,R:opera singer,\Am,,
5909,Patrick Swayze,1983-1990,,Swazey,M,1952,199x,R:hero,\Am,[4.784],Mt(Lisa Niemi)
5910,Bob Sweeney,1960,Sweeney,fn,M,,199x,"R:warm, half bald",\Am,[34.186],Ww(Hitchcock)
5911,Blanche Sweet,1911-1930,Wayne,Daphne,F,1895,1986,R:silent heroine,\Am,,
5912,Dolph Sweet,1961-1981,Sweet,Dolph,M,,,R:barrel-chested,\Am,,
5913,Inga Swenson,1961-1979,Swenson,Inga,F,1932,199x,RU:,\Am,,
5914,Stanley Swerdlow,,,,M,[1],199x,RU:,\Un,,|
5915,Nora Swinburne,1930-1971,Johnson,Elinore,F,1902,199x,RU:,\Br,,
5916,Loretta Swit,1972-1981,Swit,Loretta,F,1937,199x,R:comedy,\Am,,
5917,Carl (`Alfalfa') Switzer,1937-1958,Switzer,Carl,M,1926,1959,R:character,\Am,,
5918,Ken Swofford,1964-1982,Swofford,Ken,M,,,R:burly,\Am,,
5919,Basil Sydney,1920-1960,Nugent,Basil,M,1894,1968,R:heavy roles,\Br,[4.535],
5920,Eric Sykes,1961-1983,Sykes,Eric,M,1923,199x,R:comedian,\Br,,
5921,Harold Sylvester,,,,M,[1],199x,RU:,\Un,,|
5922,William Sylvester,1950-1978,Sylvester,William,M,1922,199x,R:lead,\Am,,
5923,Sylvie,1937-1964,Sylvain,Louise,F,1883,1970,R:character,\Fr,,
5924,Donald Symington,,,,M,[1],199x,RU:,\Un,,|
5925,Sylvia Syms,1956-1974,Syms,Sylvia,F,1934,199x,R:lead,\Br,,
5926,Mr. T,,,,M,,199x,RU:,\Un,,|
5927,Sidney Tafler,1946-1977,Tafler,Sidney,M,1916,1979,R:character,\Br,,
5928,George Takei,,,,M,[1],199x,RU:,\Un,,|
5929,Lyle Talbot,1917-1987,Talbot,Lyle,M,1902,199x,R:hood,\Am,,"Mt(Margaret Eppie) Nt(lives on vanNess, SF)"
5930,Constance Talmadge,1915-1929,Talmadge,Constance,F,1898,1973,R:silent heroine,\Am,,Si(Norma Talmadge)
5931,Norma Talmadge,1914-1930,Talmadge,Norma,F,1893,1969,"R:lead, silent",\Am,,Si(Constance Talmadge) Er(dob)
5932,William Talman,1949-1967,Talman,William,M,1915,1968,"R:crook, cop",\Am,,
5933,Tetsuro Tamba,1961-1975,Tamba,Tetsuro,M,1929,199x,RU:,\Ja,,
5934,Russ Tamblyn,1950-1975,Tamblyn,Russ,M,1934,199x,"R:buoyant dancer, tumbler",\Am,,
5935,Zoe Tamerlis,1981,Tamerlis,"Zo\""e",F,1965,199x,RU:,\Un,,|
5936,Akim Tamiroff,1934-1968,Tamiroff,Akim,M,1899,1972,R:character,\Ru; Armenian,[4.868],
5937,Mary Tamm,,,,F,[1],199x,RU:,\Un,,|
5938,Jessica Tandy,1944-1989,Tandy,Jessica,F,1909,1994,R:dignified charm,\Br,,Ww(Hitchcock) Mt(Hume Cronyn) Aw(Emmy; 1988)
5939,Yoki Tani,1957-1966,Tani,Yoki,F,1932,199x,R:lead,\Ja,,
5940,Tony Tanner,1964-1966,Tanner,Tony,M,1932,199x,R:light,\Br,,
5941,Colin Tapley,1934-1956,Tapley,Colin,M,1911,199x,R:character,\NZ,,
5942,Quentin Tarantino,1992-1994,Tarantino,Quentin,M,\Un,199x,R:tough,\Am,,Lw(Mia Sorvino)
5943,Lilyan Tashman,1921-1933,Tashman,Lilyan,F,1899,1934,R:silent sophisticate,\Am,,
5944,Reba Tassel,1956,Tassel,Reba,F,,,R:nice girl,\Am,[34.81],Ww(Hitchcock)
5945,Reginald Tate,1935-1955,Tate,Reginald,M,1896,1955,R:character,\Br,,
5946,Sharon Tate,1967-1969,Tate,Sharon,F,1943,1969,R:lead,\Am,,Nt(murdered)
5947,Jaques Tati,1949-1974,Tati,Jaques,M,1908,1982,R:pantomimist,\Fr,[9.170],
5948,Sven-Bertil Taube,1970-1979,Taube,Sven-Bertil,M,,,R:lead,\Sw,,
5949,Richard Tauber,1931-1945,Tauber,Richard,M,1892,1948,R:operatic tenor,\Os,,
5950,Vic Tayback,1968-1977,Tayback,Vic,M,,1990,R:tough-looking,\Am,,Ty(hashslinger)
5951,Alma Taylor,1909-1957,Taylor,Alma,F,1895,1974,R:silent screen,\Br,,
5952,Delores Taylor,,,,F,[1],199x,RU:,\Un,,|
5953,Don Taylor,1948-1957,Taylor,Don,M,1920,199x,R:light lead,\Am,,Also(D)
5954,Dub Taylor,,,,M,[1],199x,RU:,\Un,,|
5955,Elizabeth Taylor,1942-1977,Taylor,Elizabeth,M,1932,199x,R:beauty,\Am,,"Or(born in \GB) Mt(Nick Hilton, Michael Wilding, Mike Todd, Eddie Fisher, Richard Burton, Richard Burton, John Warner, Larry Fortensky) St(MGM) Aw(AFI#7)"
5956,Estelle Taylor,1922-1928,Boylan,Estelle,F,1899,1958,RU:,\Am,,
5957,George Taylor,,,,M,[1],199x,RU:,\Un,,|
5958,Kent Taylor,1932-1973,Weiss,Louis,M,1907,199x,R:suave,\Am,"[4.254,696]",
5959,Kit Taylor,,,,,[1],199x,RU:,\Un,,|
5960,Laurette Taylor,1922,Cooney,Laurette,F,1884,1946,R:lead,\Am,,
5961,Renee Taylor,,,,F,[1],199x,RU:,\Un,,|
5962,Rip Taylor,,,,M,[1],199x,RU:,\Un,,|
5963,Robert Taylor,1934-1968,Brugh,Spangler Arlington,M,1911,1969,R:durable,\Am,,Mt(Barbara Stanwyk.)
5964,Rod Taylor,1954-1983,Taylor,Robert,M,1929,199x,R:lead,\Au,,
5965,Sharon Taylor,,,,F,[1],199x,RU:,\Un,,|
5966,Valerie Taylor,1942,Taylor,Valerie,F,,1988,R:sr,\Ct,,
5967,Vaughn Taylor,1960,,,M,[1],199x,RU:,\Un,,Ww(Hitchcock)
5968,Zack Taylor,,,,M,[1],199x,RU:,\Un,,|
5969,Leigh TaylorYoung,1968-1981,Taylor-Young,Leigh,F,1944,199x,R:lead,\Am,,
5970,Ray Teal,1940-1971,Teal,Ray,M,1902,1976,R:character,\Am,,
5971,Conway Tearle,1918-1936,Levy,Frederick,M,1878,1938,R:lead,\Am,,Si(Godrey Tearle; halfbrother)
5972,Godfrey Tearle,1906-1953,Tearle,Sir Godfrey,M,1884,1953,R:distinguished,\Br,,Ww(Hitchcock)
5973,Verree Teasdale,1929-1941,Teasdale,Verree,F,1904,199x,R:sophisticated or suspicious,\Am,,
5974,Shirley Temple,1932-1949,Temple,Shirley,F,1928,199x,R:child prodigy,\Am,"[4.231,942]",
5975,Victoria Tennant,1972-1983,Tennant,Victoria,F,1950,199x,R:lead,\Br,,
5976,William Tepper,,,,M,[1],199x,RU:,\Un,,|
5977,Ellaline Teriss,1922-1939,Lewin,Ellen,F,1871,1971,R:beautiful,\Br,,Mt(Seymour Hicks)
5978,Alice Terry,1916-1928,Taafe,Alice,F,1899,199x,R:silent lead,\Am,,
5979,Don Terry,1928-1943,Locher,Donald,M,1902,199x,R:hero,\Am,,
5980,Ellen Terry,1917-1922,Terry,Ellen,F,1848,1928,R:distinguished,\Br,,
5981,Harry Terry,,,,M,[1][1],199x,RU:,\Un,,|
5982,Nigel Terry,,,,M,[1],199x,RU:,\Un,,|
5983,Philip Terry,1941-1947,Terry,Philip,M,1909,199x,R:lead,\Am,,Mt(Joan Crawford)
5984,TerryThomas,1966-1977,Terry-Thomas,gn,M,,1990,R:sr,\Ct,,
5985,Laurent Terzieff,1958-1978,Terzieff,Laurent,M,,199x,R:lead,\Fr,,
5986,Desmond Tester,1935-1974,Tester,Desmond,M,1919,199x,R:boy,\Br,[4.F],Ww(Hitchcock)
5987,Joan Tetzel,1946-1965,Tetzel,Joan,F,1924,1977,R:lead,\Am,,Mt(Oscar Homolka)
5988,Lauren Tewes,,,,F,[1],199x,RU:,\Un,,|
5989,Heather Thatcher,1917-1955,Thatcher,Heather,F,1897,199x,R:light,\Br,,
5990,Torin Thatcher,1934-1967,Thatcher,Torin,M,1905,1981,R:tough-looking,\Br,,
5991,John Thaw,1962-1978,Thaw,John,M,1942,199x,R:rough-speaking,\Br,,
5992,Phyllis Thaxter,1944-1972,Thaxter,Phyllis,F,1921,199x,R:lead,\Am,,
5993,Lorna Thayer,,,,F,[1],199x,RU:,\Un,,|
5994,Joe Theismann,,,,M,[1],199x,RU:,\Un,,|
5995,Jodi Thelen,,,,F,[1],199x,RU:,\Un,Cit(1),|
5996,Charlize Theron,1994,,,F,,199x,RU:,\SA,,|
5997,Ernest Thesiger,1929-1961,Thesiger,Ernest,M,1879,1961,R:skeletal-looking,\Br,[4.535; 19.207],
5998,Jack Thibeau,,,,M,[1],199x,RU:,\Un,Cit(2),|
5999,Ursula Thiess,1952-1955,Thiess,Ursula,F,1929,199x,R:lead,\Ge,[4.701],
6000,Helene Thimig,1944-1947,Thimig,Helene,F,1889,1974,R:character,\Ge,,Mt(Max Reinhardt)
6001,Roy Thinnes,1964-1979,Thinnes,Roy,M,1938,199x,R:stocky,\Am,,
6002,Brondon Thomas,,,,M,[1],199x,RU:,\Un,Cit(1),|
6003,Danny Thomas,1947-1977,Yakhoob (Jacobs),Muzyad (Amos),M,1914,1991,R:comedian,\Am,,
6004,Heather Thomas,,,,F,[1],199x,RU:,\Un,Cit(1),|
6005,Henry Thomas,,,,M,[1],199x,RU:,\Un,Cit(2),|
6006,Jameson Thomas,1927-1938,Thomas,Jameson,M,1892,1939,R:`the other man',\Br,,Ww(Hitchcock)
6007,Kristin Scott Thomas,,,,F,[1],199x,RU:,\Un,Cit(1),|
6008,Marlo Thomas,1964-1977,Thomas,Margaret,F,1944,199x,R:lead,\Am,,Ch(Danny Thomas) Mt(Phil Donahue; TV host; dob 1935)
6009,Richard Thomas,1969-1980,Thomas,Richard,M,1951,199x,R:juvenile lead,\Am,,
6010,Terry Thomas,1956-1977,Hoar-Stevens,Terry Thomas,M,1911,199x,R:gap-toothed,\Br,,Alias(Terry-Thomas)
6011,Tim Thomerson,,,,M,[1],199x,RU:,\Un,Cit(3),|
6012,Carlos Thompson,1953-1966,Mundanschaffter,Juan Carlos,M,1916,1990,R:insightful,\Ar,,Mt(Lilli Palmer) Also(B)
6013,Derek Thompson,,,,M,[1],199x,RU:,\Un,Cit(1),|
6014,Dorri Thompson,,,,,\UN,,RU:,Cit(1),|,
6015,Emma Thompson,1989-1993,Thompson,Emma,F,,199x,R:collected,,Mt(Branagh; D),|
6016,Fred Thompson,1990-1997,Fred,Thompsn,M,dob,1997+,RU:,\Am,,Also(US Senator)
6017,Eric Thompson,1971,Thompson,Eric,M,1929,1982,RU:,\Br,Also(D),|
6018,Hal Thompson,,,,M,[1],199x,RU:,\Un,Cit(1),|
6019,J.Lee Thompson,,Lee Thompson,J.Lee,M,1914,199x,RU:,\Br,,"Also(W,D)"
6020,Jack Thompson,1970-1983,Payne,John,M,1940,199x,R:lead,\Au,,
6021,Lea Thompson,,,,F,[1],199x,RU:,\Un,Cit(5),|
6022,Linda Thompson,,,,F,,199x,RU:,\Un,Cit(1),|
6023,Kay Thompson,,,,F,,199x,RU:,\Un,Cit(2),|
6024,Kim Thompson,,,,F,,199x,RU:,\Un,Cit(1),|
6025,Marshall Thompson,1944-1977,Thompson,Marshall,M,1925,199x,R:lead,\Am,,
6026,Sada Thompson,1970-1979,Thompson,Sada,M,1929,199x,R:gentle-looking,\Am,,
6027,Shawn Thompson,,,,M,[1],199x,RU:,\Un,Cit(1),|
6028,Martha Thomsen,,,,F,[1][23],199x,RU:,\Un,,|
6029,Fred Thomson,1922-1928,Thomson,Fred,M,1890,1928,R:cowboy,\Am,,
6030,Sybil Thorndyke,1921-1961,Thorndyke,Sybil Dame,F,1882,1976,R:distinguished,\Br,,
6031,Frank Thornton,1968-1973,Thornton,Frank,M,1921,199x,R:comic,\Br,,
6032,Sigrid Thornton,1980-1983,Thornton,Sigrid,F,1959,199x,R:lead,\Au,,
6033,Frank Thring,1959-1961,Thring,Frank,M,,,RU:,\Au,,
6034,Thu Thuy,,,,,[1],199x,R:tootsie,\Vi,,
6035,Ingrid Thulin,1955-1977,Thulin,Ingrid,F,1929,199x,R:lead,\Sw,,
6036,Bill Thurman,,,,M,[1][23],199x,RU:,\Un,,|
6037,Theodora Thurman,,,,F,[1][23],199x,RU:,\Un,,|
6038,Uma Thurman,1987-1993,Thurman,Uma,F,1971,199x,R:guarded,\Am,,Mt(Gary Oldman)
6039,Tiana,1975,Nga,Tiana Thi Thanh,F,19aa,199x,R:sr,\Vi,,Also(D)
6040,Lawrence Tibbett,1930-1937,Tibbett,Lawrence,M,1896,1960,R:opera star,\Am,,
6041,Joseph Ticka,,,,M,[1],199x,RU:,\Un,,|
6042,Cheryl Tiegs,,Tiegs,Cheryl,F,,199x,R:slim,\Am,,Lw(Tony Peck)
6043,Gene Tierney,1940-1969,Tierney,Gene,F,1920,1991,R:good girl,\Am,,
6044,Lawrence Tierney,1944-1982,Tierney,Lawrence,M,1919,199x,R:`tough guy',\Am,,Si(Scott Brady)
6045,Zeffie Tilbury,1921-1945,Tilbury,Zeffie,F,1863,1950,R:character,\Am,,
6046,Nadja Tiller,1959-1968,Tiller,Nadja,F,1929,199x,R:rich girl,\Os,,
6047,Mel Tillis,,,,M,[1],199x,RU:,\Un,,|
6048,Johnny Tillotson,,,,M,[1],199x,RU:,\Un,,|
6049,Jennifer Tilly,,Tilly,Jennifer,F,,199x,R:dizzy,\Am,,|
6050,Meg Tilly,1982-1994,Tilly,Meg,F,1960,199x,RU:,\Am,,Mt(Fred Zinneman;)
6051,Charlene Tilton,,,,F,[1],199x,RU:,\Un,,|
6052,Martha Tilton,1941-1956,Tilton,Martha,F,1915,199x,R:singer,\Am,,
6053,Charles Tingwell,1948-1975,Tingwell,Charles,M,1917,199x,R:self-effacing roles,\Au,,
6054,Kenneth Tobey,1949-1977,Tobey,Kenneth,M,1919,199x,R:character,\Am,,
6055,George Tobias,1940-1966,Tobias,George,M,1901,1980,R:character,\Am,,
6056,Oliver Tobias,1978-1983,Tobias,Oliver,M,1947,199x,R:saturnine,\Br,,
6057,Dan Tobin,1938-1973,Tobin,Dan,M,1909,1982,R:character,\Am,,
6058,Genevieve Tobin,1931-1939,Tobin,Genevieve,F,1901,1975,R:vivacious,\Am,[4.768],
6059,Ann Todd,1931-1979,Todd,Ann,F,1909,199x,R:blonde,\Br,[4.796],Ww(Hitchcock) Mt(David Lean) Nt(there are two)
6060,Ann Todd,1939-1952,Mayfield,Ann Todd,F,1932,199x,R:child star,\Am,,Ww(Hitchcock)
6061,Richard Todd,,Todd,Richard,M,1919,199x,R:lead,\Br,,Ww(Hitchcock)
6062,Thelma Todd,1926-1935,Todd,Thelma,F,1905,1935,R:perky blonde,\Am,,
6063,Ugo Tognazzi,1961-1980,Tognazzi,Ugo,M,1922,1990,R:lead,\It,,
6064,Sidney Toler,1929-1947,Toler,Sidney,M,1878,1947,R:detective,\Am,,"Ty(Charlie Chan; 1938-1947) St(Fox, Monogram)"
6065,Marilu Tolo,,,,M,[1][23],199x,RU:,\Un,,|
6066,Jeana Tomasina,,,,F,[1][23],199x,RU:,\Un,,|
6067,Marisa Tomei,1991,Tomei,Marisa,F,[1][23],199x,"R:slinky, fun",\Am,.tif,
6068,Andrew Tombes,1933-1955,Tombes,Andrew,M,1889,197x,R:cop,\Am,,
6069,Lily Tomlin,1975-1980,Tomlin,Lily,F,1939,199x,R:comedy actress,\Am,[4.56][9.173],
6070,David Tomlinson,1940-1980,Tomlinson,David,M,1917,199x,R:amiable,\Br,,
6071,Franchot Tone,1932-1968,Tone,\FN{Stanislas Pascal Franchot,M,1905,1968,R:lead,\Am,[4.609],
6072,Regis Toomey,1928-1977,Toomey,Regis,M,1902,1991,R:character,\Am,,
6073,Geoffrey Toonen,,,,M,[1],199x,RU:,\Un,,|
6074,Topol,1965-1983,Topol,Chaim,M,1935,199x,R:lead,\Is,,
6075,Marta Toren,1948-1954,Toren,Marta,F,1926,1957,R:lead,\Sw,,
6076,Mel Torm\'e,1943-1966,Torm\'e,Mel,M,1923,199x,R:amiable singer,\Am,,
6077,Rip Torn,1956-1983,Torn,Elmore,M,1931,199x,R:general purpose,\Am,,
6078,David Torrence,1921-1935,Torrence,David,M,1864,1951,R:silent,\Br; Scots,,
6079,Ernest Torrence,1921-1933,Torrence,Ernest,M,1878,1933,"R:villain, silent",\Br; Scots,,
6080,Raquel Torres,1928-1936,Osterman,Paula Marie,F,1908,199x,R:lead,\Am,,
6081,Toto,1950,gn,fn,M,,199x,R:comic,\It,,
6082,Audrey Totter,1944-1979,Totter,Audrey,F,1918,199x,R:`hard-boiled',\Am,"[4.21,577]",
6083,Tamara Toumanova,1966,,,F,[1],199x,R:ballet dancer,,Ww(Hitchcock),|
6084,Harry Townes,,,,M,[1],199x,RU:,\Un,,|
6085,Jill Townsend,,,,F,[1],199x,RU:,\Un,,|
6086,Patrice Townsend,,,,F,[1],199x,RU:,\Un,,|
6087,Stuart Townsend,1995-1998,Fn,Gn,M,,199x,RU:,\Ir,,|
6088,J.R. Tozer,,,,M,[1],199x,RU:,\Un,,|
6089,Arthur Tracy,1932-1938,Rosenberg,Harry,M,1903,199x,R:singer,\Am,,
6090,Lee Tracy,1929-1953,Tracy,Lee,M,1898,1968,R:nasal delivery,\Am,,
6091,Spencer Tracy,1930-1967,,,M,1900,1968,RU:,\Un,[4.172],"St(MGM) Mt(Louise Treadwell) Lw(Loretta Young@{A Man's Castle}, Katherine Hepburn@{Woman of the Year}) Aw(AFI#9)"
6092,William Tracy,1938-1956,Tracy,William,M,1917,1967,R:sly or dumb,\Am,,
6093,Mary Ellen Trainor,,,,F,[1],199x,RU:,\Un,,|
6094,Helen Traubel,1954-1967,Traubel,Helen,F,1899,1972,R:soprano,\Am,,
6095,Daniel J. Travanti,,,,M,[1],199x,RU:,\Un,,|
6096,Bill Travers,1954-1977,Travers,Bill,M,1922,199x,R:tall lead,\Br,,Mt(Virginia McKenna)
6097,Henry Travers,1932-1949,Heagerty,Travers,M,1874,1965,R:benign old gentleman,\Br,,
6098,Jemru Travers,,,,M,[1],199x,RU:,\Un,,|
6099,Linden Travers,1935-1949,Lindon-Tavers,Florence,M,1913,199x,R:lead,\Br,[4.580],
6100,Nancy Travis,1987-1990,Travis,Nancy,F,,199x,R:steamy,\Am,,
6101,Richard Travis,1941-1955,Justice,William,M,1913,199x,R:lead,\Am,,
6102,John Travolta,1975-1983,Travolta,John,M,1954,199x,R:long-limbed dancer,\Am,,Mt(Kelly Preston)
6103,Arthur Treacher,1934-1964,Veary,Arthur Treacher,M,1894,1975,R:butler,\Br,,
6104,David Tree,1937-1940,Tree,David,M,1915,199x,R:comedy actor,\Br,,
6105,Mary Treen,1935-1956,Treen,Mary,F,1907,199x,"R:nurse, office girl, plain friend",\Am,,
6106,Luis Trenker,1926-1962,Trenker,Luis,M,1893,,R:mountain lead,\Ge,,
6107,Noel Trevarthen,,,,M,[1],199x,RU:,\Un,,|
6108,Austin Trevor,1930-1959,Schilsky,A.,M,1897,1978,R:character,\Br,,
6109,Claire Trevor,1933-1967,Wemlinger,Claire,F,1909,199x,R:character,\Am,,
6110,Jack Trevor,,,,M,[1],199x,RU:,\Un,,|
6111,Les Tremayne,1960,,,M,[1],199x,RU:,\Un,,Ww(Hitchcock)
6112,Ivan Triesault,1943-1966,Triesault,Ivan,M,1898,1980,R:small-part,Eastern European,,
6113,Trigger,1938-1947,Tigger,none,A,1932,1965,R:trick horse,\Am,,Ww(roy rogers)
6114,Tommy Trinder,1938-1964,Trinder,Tommy,M,1909,1989,R:music hall star,\Br,[4.183],
6115,JeanLouis Trintignant,1955-1983,Trintignant,Jean-Louis,M,1930,199x,R:lead,\Fr,,
6116,Jeanne Tripplehorn,1992-1993,Tripplehorn,Jeanne,F,1964,199x,R:attractive,\Am,,Mt(Ben Stiller)
6117,Dorothy Tristan,,,,F,[1],199x,RU:,\Un,,|
6118,Massimo Troisi,1995,Troisi,Massimo,M,1953,1994,RU:,\Un,,|
6119,Judy Trott,,,,F,[1],199x,RU:,\Un,,|
6120,Patrick Troughton,1948-1976,Troughton,Patrick,M,1920,1987,R:malevolent roles,\Br,,
6121,Cecil Trouncer,1938-1954,Trouncer,Cecil,M,1898,1953,R:resonant diction,\Br,,
6122,Charles Trowbridge,1931-1957,Trowbridge,Charles,M,1882,1967,"R:professor, kindly father",\Am,,
6123,Michael Trubshawe,1965,Trubshawe,Michael,M,,1985,R:sr,\Ct,,
6124,Ernest Truex,1933-1965,Truex,Ernest,M,1890,1973,R:`little man',\Am,,
6125,Francois Truffaut,,Truffaut,Francois,M,1932,199x,RU:,\Un,,Also(D)
6126,Ralph Truman,1944-1971,Truman,Ralph,M,1900,1977,R:character,\Br,,
6127,Natalie Trundy,1957-1973,Trundy,Natalie,F,,,R:lead,\Am,[34.264],Ww(Hitchcock)
6128,Tom Tryon,1955-1978,Tryon,Thomas,M,1919,1991,R:lead,\Am,,
6129,Paris Tselios,,,,M,[1],199x,RU:,\Un,,|
6130,Irene Tsu,1966-1975,Tsu,Irene,F,1943,199x,R:glamour girl,\Ch,,
6131,William Tubbs,1946-1951,Tubbs,William,M,1909,1953,R:portly,\Am,,
6132,Forrest Tucker,1940-1979,Tucker,Forrest,M,1919,1986,R:rugged,\Am,,
6133,Michael Tucker,,,,M,[1],199x,RU:,\Un,,|
6134,Sophie Tucker,1929-1944,Abuza,Sophia,F,1884,1966,R:lead,\Ru,,Alias(Sonia Kalish)
6135,Sonny Tufts,1943-1967,Tufts,Bowen Charleston,M,1911,1970,R:singer,\Am,[4.462],
6136,Tom Tully,1944-1959,Tully,Tom,M,1896,1982,"R:tough-looking, soft-hearted",\Am,,
6137,Ann Turkel,1974-1980,Turkel,Ann,F,,,R:lead,,,Mt(Richard Harris)
6138,Elizabeth Turner,,,,F,[1],199x,RU:,\Un,,|
6139,Guinevere Turner,1994,Turner,Guinevere,F,1968,199x,R:hip lesbian,,,
6140,Florence Turner,1910-1921,Turner,Florence,F,1887,1946,RU:,\Am,,Nt(Vitagraph Girl)
6141,Janine Turner,1982-1993,Turner,Janine,F,1964,199x,R:sexy,\Am,,
6142,John Turner,1960-1964,Turner,John,M,1932,199x,R:lead,\Br,,
6143,Kathleen Turner,1982-1993,,,F,1954,199x,"R:cool, intense",\Un,[4.879],
6144,Lana Turner,1937-1982,Turner,Judy Julia,F,1920,199x,R:lead,\Am,,Lw(Tyrone Power) Er(fn)
6145,Tina Turner,,,,F,[1],199x,R:singer,\Am,,
6146,Ben Turpin,1919-1930,Turpin,Ben,M,1874,1940,R:cross-eyed,\Am,[4.682],
6147,Rita Tushingham,1961-1975,Tushingham,Rita,F,1940,199x,R:character,\Br,,
6148,Dorothy Tutin,1952-1972,Tutin,Dorothy,F,1930,199x,R:lead,\Br,,
